자연장지시설,전라남도,함평군,한국기독교장로회함평읍교회,전라남도 함평군 손불면 석창리 88-17,061-323-9191,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,충청북도,청주시 상당구,청주성요셉공원 자연장지,"충청북도 청주시 상당구 가덕면 병암길 35-52 (시동리, 성당)",043-298-5880,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,강원특별자치도,홍천군,도심리교회 하늘로공원,강원특별자치도 홍천군 화촌면 도심리길 196 (구성포리),033-433-3321,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,대전광역시,서구,대전추모공원 자연장지,대전광역시 서구 상보안윗길 160 (괴곡동),042-602-2500,042-585-4707,null,418,공설,3656.0,설치,설치,설치,설치,설치
자연장지시설,전라남도,광양시,광양시립영세공원 자연장지,전라남도 광양시 광양읍 직동1길 300 (죽림리),061-762-4449,061-762-4494,cemetery.gwangyang.go.kr/pr/info/nature,null,공설,12000.0,미설치,미설치,설치,설치,미설치
자연장지시설,경기도,이천시,이천시립 자연장지,경기도 이천시 부발읍 황무로1719번길 189 (죽당리),031-631-3578,null,www.2000fmc.or.kr,60,공설,10000.0,미설치,미설치,설치,설치,설치
자연장지시설,강원특별자치도,춘천시,일심정사 수목장림,강원특별자치도 춘천시 남산면 김유정로 427-28 (광판리),null,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,양평군,국립하늘숲추모원,경기도 양평군 양동면 양서동로 372 (계정리),031-775-6637,031-775-6639,sky.fowi.or.kr,200,공설,63150.0,미설치,미설치,설치,설치,미설치
자연장지시설,세종특별자치시,세종특별자치시,은하수공원 자연장지,"세종특별자치시 정안세종로 1527 (산울동, 은하수공원)",044-850-1340,044-863-0764,wwwsjfmcorkr/eunhasudo,20,공설,77701.0,설치,설치,설치,설치,설치
자연장지시설,경상북도,경주시,경주하늘수목장림,경상북도 경주시 건천읍 하늘마루길 274 (용명리),054-753-3535,null,null,50,사설,23928.0,미설치,미설치,설치,설치,설치
자연장지시설,경기도,양평군,선연사 자연장지,"경기도 양평군 양평읍 농업기술센터길 19-18 (공흥리, 선연사)",031-774-6656,null,null,null,사설,200,미설치,미설치,미설치,미설치,미설치
자연장지시설,강원특별자치도,철원군,(재)목련공원묘원 자연장지,"강원특별자치도 철원군 서면 싸리골길 133 (자등리, 목련공원)",033-458-4444,null,null,0,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,충청남도,공주시,정안수목장,충청남도 공주시 정안면 차령고개로 17-57 (사현리),041-854-0855,null,www.정안수목장.kr,150,사설,150,설치,설치,설치,설치,설치
자연장지시설,경기도,고양시 일산동구,일산공감수목장(봉화사),경기도 고양시 일산동구 지영로194번길 132 (지영동),031-975-4587,null,www.일산공감수목장.com,80,사설,20000.0,미설치,미설치,설치,설치,미설치
자연장지시설,경상남도,거제시,저높은교회 자연장지,경상남도 거제시 삼거동 602,055-637-3439,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상남도,남해군,남해추모누리공원 자연장지,"경상남도 남해군 서면 연죽로 46-77 (연죽리, 남해공설종합묘원추모누리)",055-860-3681,055-860-3882,www.namhae.go.kr/welfare/Index.do?c=WL0601010000,50,공설,6000.0,설치,설치,설치,설치,설치
자연장지시설,경기도,용인시,천주교인보성체수도회,"경기도 용인시 처인구 포곡읍 백옥대로1832번길 68 (삼계리, 수녀원)",031-339-9025,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,용인시,샘물호스피스 자연장지,경기도 용인시 처인구 백암면 고안로51번길 112-25 (고안리),031-329-2993,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,제주특별자치도,제주시,용강별숲공원(구 동부공설묘지),제주특별자치도 제주시 용강6길 366-1 (용강동),064-728-2562,064-728-2529,null,null,공설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상북도,영천시,죽림사 자연장지,"경상북도 영천시 금호읍 죽방길 279-57 (봉죽리, 죽림사)",054-334-1261,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전라남도,여수시,여수시영락공원 자연장지(수목·잔디),"전라남도 여수시 소라면 의곡길 494 (봉두리, 영락공원)",061-659-1795,null,yeosu.go.kr,null,공설,2664.0,미설치,미설치,설치,미설치,미설치
자연장지시설,경기도,고양시,자연애숲(다니엘교회),경기도 고양시 일산동구 지영로194번길 135 (지영동),031-977-9915,null,null,48,사설,0,미설치,미설치,설치,설치,미설치
자연장지시설,경기도,양주시,대원정사 자연장지,경기도 양주시 장흥면 권율로309번길 317-214 (석현리),031-855-5501,null,null,null,사설,890,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상북도,안동시,대한불교조계종세심사 상락향수목장림,경상북도 안동시 와룡면 선돌길 112-55 (가구리),054-857-1900,null,null,50,사설,300,미설치,미설치,설치,설치,미설치
자연장지시설,전북특별자치도,정읍시,서남권추모공원 자연장지,전북특별자치도 정읍시 감곡면 정읍북로 1850 (통석리),063-539-6725,063-538-6517,null,10,공설,4000.0,설치,설치,설치,설치,설치
자연장지시설,전라남도,함평군,대한불교조계종 용천사,전라남도 함평군 해보면 광암리 409,061-322-1445,null,https://www.용천사자연수목장.com,100,사설,700,설치,미설치,설치,설치,설치
자연장지시설,충청남도,당진시,대호지공설묘지 자연장지,"충청남도 당진시 대호지면 봉선길 123 (장정리, 어성정공동묘지)",041-350-3044,null,https://www.law.go.kr/자치법규/당진시장사시설등의설치및관리조례/,null,공설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,충청북도,영동군,선불교자연장지,충청북도 영동군 심천면 마곡리 185-3,043-745-7820,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,안성시,안성시추모공원 자연장지,경기도 안성시 미양면 보촌4길 70 (고지리),031-677-9944,031-677-9966,www.asimc.or.kr/chumo,155,공설,0,미설치,미설치,설치,설치,미설치
자연장지시설,전북특별자치도,익산시,영모묘원 자연장지,"전북특별자치도 익산시 왕궁면 호반로 173-45 (동봉리, 영모묘원납골당)",063-836-4311,null,null,1000,사설,33334.0,설치,미설치,설치,설치,설치
자연장지시설,경기도,양주시,하늘소풍수목장(호산나교회),경기도 양주시 평화로1261번길 372-74 (산북동),031-1577-8195,031-856-4455,haneulsopung.co.kr,100,사설,5000.0,미설치,미설치,설치,설치,미설치
자연장지시설,경기도,안성시,기독교대한성결교회 안성교회 자연장지,경기도 안성시 금광면 조령길 73-117 (삼흥리),031-674-2347,null,null,15,사설,800,미설치,미설치,설치,설치,미설치
자연장지시설,경기도,양평군,별그리다(별의숲),경기도 양평군 양동면 양동금곡1길 331 (삼산리),031-333-1111,031-774-4710,www.star4ever.com,1300,사설,27269.0,설치,미설치,설치,설치,설치
자연장지시설,강원특별자치도,화천군,화천공원묘원 자연장지,"강원특별자치도 화천군 하남면 영서로 5697-66 (원천리, 화천장례식장)",033-440-2316,null,null,null,공설,705,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,김포시,금강사추모공원(자연장지),경기도 김포시 하성면 평화공원로70번길 104-25 (가금리),031-984-6544,null,null,null,사설,20000.0,설치,미설치,설치,설치,설치
자연장지시설,경기도,연천군,오봉사 수목장림,경기도 연천군 연천읍 현문로245번길 384 (고문리),031-834-2140,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,강원특별자치도,강릉시,청솔공원 자연장지,강원특별자치도 강릉시 사천면 석교리 산162,033-660-3857,null,https://www.gn.go.kr/www/contents.do?key=1169,null,공설,1826.0,설치,설치,설치,설치,미설치
자연장지시설,경기도,포천시,광릉추모공원 자연장,경기도 포천시 내촌면 부마로 341 (마명리),031-532-2520,031-534-3116,www.gmemorialpark.com,200,사설,12000.0,설치,설치,설치,미설치,미설치
자연장지시설,경기도,연천군,대한예수교장로회 금호교회 자연장지,경기도 연천군 왕징면 북삼리 263,02-2234-5400,02-2234-1582,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,제주특별자치도,제주시,제주영락동산,제주특별자치도 제주시 구좌읍 덕천리 427-1,064-753-1231,064-757-5553,www.jejuyn.or.kr/main/sub.html?pageCode=47,null,사설,6264.0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전북특별자치도,익산시,익산하늘공원자연장지,"전북특별자치도 익산시 무왕로 1471-63 (석왕동, 익산공원묘지)",063-859-3840,063-859-3868,null,10,공설,3947.0,미설치,미설치,설치,미설치,미설치
자연장지시설,경기도,가평군,가평추모공원 자연장지,"경기도 가평군 가평읍 석봉로191번길 65-84 (읍내리, 가평추모공원)",031-580-2583,null,null,null,공설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,충청남도,보령시,분당소망교회 보령동산,충청남도 보령시 오천면 교성리 339-12,031-709-1004,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전라남도,함평군,사랑의빛교회 천제모동산,전라남도 함평군 손불면 석창리 637-16,062-371-9206,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상북도,김천시,기독교대한감리회 애향숙,경상북도 김천시 어모면 용문산길 588-20 (능치리),054-435-5810,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,용인시,불광사 양지수목장,경기도 용인시 처인구 백암면 박곡로208번길 24 (박곡리),031-323-1207,null,http://wwwxn--w52bz9kg2c4uc6wdcom/,130,사설,4500.0,설치,미설치,설치,설치,설치
자연장지시설,경상북도,김천시,황금동교회 자연장지,경상북도 김천시 양천동 1153-5,054-432-5775,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전북특별자치도,무주군,무주추모의집 자연장지,"전북특별자치도 무주군 무주읍 괴목로 1359-72 (당산리, 무주추모의집)",063-322-2302,063-322-2390,null,null,공설,3082.0,미설치,미설치,설치,미설치,미설치
자연장지시설,경상북도,영천시,은해사 자연장지,"경상북도 영천시 청통면 은해사로 300 (치일리, 은해사)",054-335-0566,null,null,200,사설,0,미설치,미설치,설치,설치,미설치
자연장지시설,전라남도,곡성군,(재)아름다운 청계공원 자연장지,전라남도 곡성군 곡성읍 청계동로 457 (신기리),061-362-1199,null,https://061-362-1199.ezbuilder.co.kr/,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,충청북도,옥천군,옥천성당요셉공원,충청북도 옥천군 옥천읍 중앙로 91 (삼양리),043-731-9981,null,null,100,사설,0,설치,설치,설치,설치,설치
자연장지시설,경기도,양평군,하이패밀리 자연장지,경기도 양평군 서종면 도장리 산32,031-772-3223,null,null,null,사설,3000.0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상북도,울릉군,울릉하늘섬공원 자연장지,경상북도 울릉군 서면 태하령길 314 (남서리),054-791-1888,null,null,null,공설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전라남도,구례군,구례군 공설자연장지,"전라남도 구례군 마산면 당몰샘로 129-49 (사도리, 구례군자연장지관리사무소)",061-782-7712,061-782-7714,null,20,공설,8500.0,미설치,미설치,설치,설치,미설치
자연장지시설,전라남도,장성군,백양사 수목장,"전라남도 장성군 북하면 백양로 1239 (약수리, 백양사)",061-392-2304,null,www.백양사수목장.com,100,사설,0,설치,설치,설치,설치,미설치
자연장지시설,경기도,양평군,무궁화공원묘원(자연장지),경기도 양평군 서종면 잠실2길 120 (도장리),031-771-1400,null,www.gravepark.co.kr,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,수원시 영통구,수원시연화장 자연장지,"경기도 수원시 영통구 광교호수로 278 (하동, 수원시연화장)",031-218-6500,031-218-6519,www.suwonudc.co.kr/suwonyhj/mainPage.do,400,공설,6000.0,미설치,미설치,설치,미설치,미설치
자연장지시설,강원특별자치도,횡성군,길상사 수목장림,강원특별자치도 횡성군 서원면 양서동로 377 (석화리),031-771-7319,null,www.하늘길수목장.com,20,사설,0,미설치,미설치,설치,설치,미설치
자연장지시설,경기도,용인시,용인로뎀파크,"경기도 용인시 처인구 양지면 한터로 432-16 (대대리, 용인로뎀파크교회)",031-321-4477,null,www.rodempark.com,null,사설,1700.0,미설치,미설치,미설치,미설치,미설치
자연장지시설,충청남도,보령시,국립기억의숲,충청남도 보령시 성주면 개화리 산41,041-402-7100,null,www.wbf.or.kr,null,공설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,강원특별자치도,홍천군,사모보궁자연장,강원특별자치도 홍천군 두촌면 한계길 23-11 (철정리),033-436-1414,null,null,null,사설,500,미설치,미설치,미설치,미설치,미설치
자연장지시설,전라남도,함평군,대한예수장로회 아름기도회 자연장지,"전라남도 함평군 대동면 고막천로 1137 (금곡리, 아름기도회묘지관련시설)",062-433-9191,null,www.kcck.co.kr,10,사설,2000.0,미설치,미설치,설치,설치,미설치
자연장지시설,전북특별자치도,순창군,순창성당자연장지,"전북특별자치도 순창군 순창읍 순창로 247 (남계리, 순창천주교회)",063-652-1004,null,null,0,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상북도,의성군,의성군 천제공원(수목·잔디),경상북도 의성군 의성읍 의성길안로 287-29 (중리리),054-830-6167,054-833-6167,null,null,공설,4929.0,미설치,미설치,설치,미설치,미설치
자연장지시설,경기도,용인시,용인평온의숲 예정원,"경기도 용인시 처인구 이동면 평온의숲로 77 (어비리, 용인평온의숲)",031-329-5900,031-329-5904,www.tranquil-forest.or.kr,661,공설,11928.0,설치,설치,설치,설치,미설치
자연장지시설,경상남도,거창군,해인사 고불암수목장,경상남도 거창군 가북면 용암리 산154-4,055-934-0127,null,null,null,사설,1000.0,설치,미설치,설치,설치,설치
자연장지시설,강원특별자치도,철원군,성도장로교회 자연장지,강원특별자치도 철원군 서면 싸리골길 79-1 (자등리),033-458-1907,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,화성시,(재)효원가족공원 자연장지,경기도 화성시 만세구 향남읍 서봉로755번길 17-15 (동오리),031-354-2325,031-354-2327,null,200,사설,540,미설치,설치,설치,미설치,설치
자연장지시설,경상남도,밀양시,천불사 수목장,경상남도 밀양시 삼랑진읍 행곡3길 68-72 (행곡리),null,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,강원특별자치도,삼척시,삼척시추모공원 자연장,강원특별자치도 삼척시 강원남부로 4540 (등봉동),033-574-7912,null,www.samcheok.go.kr/memorial,200,공설,7247.0,설치,미설치,설치,미설치,설치
자연장지시설,인천광역시,강화군,월곳리 공설자연장지,인천광역시 강화군 강화읍 월곳리 산8,032-934-0003,null,null,30,공설,1284.0,미설치,미설치,설치,설치,미설치
자연장지시설,경기도,안성시,에버그린수목장,경기도 안성시 양성면 남북대로 1698 (동항리),031-673-4785,031-673-4786,www.evergreenpark.co.kr,30,사설,12000.0,미설치,미설치,설치,설치,미설치
자연장지시설,강원특별자치도,홍천군,팔봉사 더유일추모공원,강원특별자치도 홍천군 홍천읍 큰골길 295-14 (갈마곡리),033-435-8804,null,null,0,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전북특별자치도,남원시,남원시추모공원,전북특별자치도 남원시 솔터길 40-36 (광치동),063-620-5730,null,null,null,공설,3580.0,미설치,미설치,미설치,미설치,미설치
자연장지시설,강원특별자치도,홍천군,홍천군 추모공원 자연장지,강원특별자치도 홍천군 홍천읍 하오안리 산130-1,033-430-2106,null,null,100,공설,25945.0,설치,설치,설치,설치,설치
자연장지시설,전라남도,순천시,원산교회 자연장지,전라남도 순천시 별량면 죽산리 158,061-742-5568,null,null,0,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상남도,양산시,신불산추모공원 수목장지,"경상남도 양산시 어실로 602-1 (어곡동, 신불정사)",055-363-4666,055-363-0590,www.sbjs.kr/,55,사설,2318.0,미설치,미설치,설치,설치,미설치
자연장지시설,전라남도,영암군,목포남부교회 남부소망동산,전라남도 영암군 학산면 신덕리 3-6,061-244-4043,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,용인시,(재)용인추모원 자연장지,"경기도 용인시 기흥구 중부대로 972 (상하동, 재단법인용인추모원)",031-283-1601,null,www.yich.co.kr,60,사설,600,미설치,설치,설치,설치,설치
자연장지시설,충청북도,청주시 상당구,석화사 자연장지,충청북도 청주시 상당구 미원면 내산1길 91-37 (내산리),null,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,강원특별자치도,춘천시,춘천안식공원 잔디장,"강원특별자치도 춘천시 동산면 종자리로 331-50 (군자리, 춘천시공설묘원)",033-261-7314,033-261-7315,null,10,공설,16447.0,설치,설치,설치,설치,설치
자연장지시설,경기도,광주시,중흥교회복지선교회,경기도 광주시 곤지암읍 오향리 10-14,031-764-4005,null,xn--o39a5rx2gntwftggen5j.com/,100,사설,20000.0,미설치,미설치,설치,설치,설치
자연장지시설,경기도,안성시,유토피아추모공원(자연장지),경기도 안성시 일죽면 화곡길 93 (화곡리),031-673-7904,031-674-7904,null,68,사설,17000.0,미설치,미설치,설치,설치,미설치
자연장지시설,경기도,의왕시,의왕하늘쉼터 자연장지,경기도 의왕시 오매기백운산길 41-57 (오전동),031-345-2831,031-345-2839,www.uiwang.go.kr/UWKORWEL0901,26,공설,2800.0,미설치,미설치,설치,미설치,미설치
자연장지시설,인천광역시,옹진군,이작리공설묘지 자연장지,인천광역시 옹진군 자월면 이작리 산289,032-899-2333,null,null,null,공설,90,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,용인시,동화추모공원,경기도 용인시 처인구 백암면 한택로71번길 19 (옥산리),031-337-3324,null,null,null,사설,841,미설치,미설치,미설치,미설치,미설치
자연장지시설,충청남도,서천군,(재)대전교구천주교회 서천자연장지,충청남도 서천군 문산면 수암리 산77,041-952-4460,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전라남도,무안군,목포중앙교회 자연장지,전라남도 무안군 청계면 남성리 90,null,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상남도,함양군,함양공설자연장지,경상남도 함양군 함양읍 구룡리  749번지,055-960-4924,055-960-5728,null,null,공설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상북도,울진군,울진군립추모원(자연장지),경상북도 울진군 울진읍 대흥신림로 1046-280 (신림리),054-789-6109,054-789-3640,null,52,공설,0,미설치,미설치,설치,미설치,미설치
자연장지시설,경상북도,경주시,무일선원 수목장림,"경상북도 경주시 감포읍 회곡길 127 (대본리, 관음사)",054-753-8228,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,인천광역시,부평구,인천가족공원 자연장지,인천광역시 부평구 평온로 61 (부평동),032-456-2320,032-456-2324,www.insiseol.or.kr/life/family,null,공설,6315.0,설치,설치,설치,설치,설치
자연장지시설,경기도,광주시,신월공설자연장지,경기도 광주시 초월읍 신월길 36-18 (신월리),031-767-0383,null,www.gumc.or.kr/business/park,24,공설,2167.0,미설치,미설치,설치,미설치,미설치
자연장지시설,경상남도,함양군,함양하늘공원(자연장지),"경상남도 함양군 지곡면 함양로 2139-2 (마산리, 하늘공원)",055-964-0401,null,www.parksky.co.kr/Guide/NaturalBurials.asp,null,사설,0,설치,미설치,설치,미설치,미설치
자연장지시설,경상남도,밀양시,재단법인 효심추모관 자연장지,경상남도 밀양시 삼랑진읍 삼랑진로 605 (미전리),055-802-7091,null,www.효심추모공원.com,120,사설,0,미설치,설치,설치,설치,설치
자연장지시설,서울특별시,서울특별시,용미리 제1묘지 자연장지,경기도 파주시 광탄면 용미리 산107,031-943-1930,031-943-1931,https://www.sisul.or.kr/open_content/memorial/use/nature.jsp,,공설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,강원특별자치도,영월군,원주제일교회 자연장지,강원특별자치도 영월군 주천면 신일리 산253,033-742-2170,null,null,null,사설,140,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,여주시,(재)여주세종추모공원 자연장,경기도 여주시 흥천면 샘다리길 105 (흥천면 상대리 27-6),031-886-4060,null,www.세종공원.kr,200,사설,8000.0,미설치,미설치,설치,설치,설치
자연장지시설,경기도,광주시,충현공원 자연장지,경기도 광주시 용샘길 115-25 (목현동),031-764-9617,null,www.충현교회.net,100,사설,4320.0,설치,미설치,설치,설치,설치
자연장지시설,경기도,동두천시,예래원(자연장지),경기도 동두천시 탑신로 668 (탑동동),031-867-8707,null,www.erehwon.or.kr,200,사설,357,설치,설치,설치,설치,설치
자연장지시설,경기도,광주시,중대공원자연장지,경기도 광주시 순암로 192 (중대동),031-762-0383,031-762-0382,www.gumc.or.kr/business/park,60,공설,4578.0,미설치,설치,설치,미설치,미설치
시설종류,시도,시군구,시설명,주소,전화번호,팩스번호,홈페이지,주차대수,공설/사설,최초설치연도,존치기간(년),봉안가능수(구),식당,매점,주차장,유족대기실,장애인편의시설
봉안시설,세종특별자치시,세종특별자치시,황룡사 봉안당,세종특별자치시 연동면 황우재길 22-17 (명학리),044-864-7000,null,null,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
봉안시설,인천광역시,서구,천주교 인천교구 하늘의문(봉안당),"인천광역시 서구 드림로 472 (당하동, 하늘의문묘지)",032-765-7251,null,https://haneul.caincheon.or.kr,35,사설,30,0,0,미설치,미설치,설치,미설치,미설치
봉안시설,경기도,고양시 덕양구,추모공원 하늘문,경기도 고양시 덕양구 보광로106번길 46 (벽제동),031-962-7579,031-964-1691,www.hi1009.com,100,사설,99,99,0,미설치,미설치,설치,설치,설치
봉안시설,전라남도,완도군,완도군추모공원 봉안담,전라남도 완도군 군외면 청해진서로 1702 (삼두리),061-550-5328,null,null,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
봉안시설,전라남도,무안군,천국의계단추모관(재단법인천국),"전라남도 무안군 일로읍 죽사동길 179-126 (지장리, 천국의계단추모관)",061-281-8661,null,www.i1009.kr,200,사설,99,0,0,미설치,미설치,설치,설치,설치
봉안시설,강원특별자치도,춘천시,춘천안식공원(봉안묘),"강원특별자치도 춘천시 동산면 종자리로 331-50 (군자리, 춘천시공설묘원)",033-263-6454,null,https://www.cuc.or.kr/ansikPark.do,20,공설,30,30,1,설치,설치,설치,설치,설치
봉안시설,인천광역시,남동구,천주교 인천교구 고잔성당 몽은당,"인천광역시 남동구 논현고잔로128번길 32,고잔성당 (고잔동)",032-442-9174,null,www.caincheon.or.kr,0,사설,20,10,2,미설치,미설치,미설치,미설치,미설치
봉안시설,충청남도,논산시,무궁화추모공원,충청남도 논산시 벌곡면 황룡재로553번길 148-71 (양산리),041-734-3844,null,www.neverend.kr,30,사설,30,0,0,미설치,미설치,설치,설치,설치
봉안시설,서울특별시,용산구,용산성당 베다니아의집,"서울특별시 용산구 효창원로15길 37 (산천동, 용산천주교회)",02-719-3301,null,www.yongsanch.or.kr,30,사설,15,0,0,미설치,미설치,설치,미설치,미설치
봉안시설,경상북도,칠곡군,현대공원 추모의집,경상북도 칠곡군 동명면 다부거문1길 51-75 (가천리),054-972-6375,null,www.hdpark.co.kr,70,사설,10,50,0,미설치,미설치,설치,설치,미설치
봉안시설,경상남도,창원시 마산합포구,창원공원묘원 봉안시설,경상남도 창원시 마산합포구 진동면 공원묘원로 134 (인곡리),055-271-1700,055-271-3545,www.changwonpark.kr,3800,사설,99,0,99,미설치,설치,설치,미설치,미설치
봉안시설,전라남도,해남군,서동사,"전라남도 해남군 화원면 절골길 244 (금평리, 서동사)",061-532-0415,061-534-0324,null,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
봉안시설,전북특별자치도,김제시,성모암영락원,전북특별자치도 김제시 만경읍 화포3길 54-9 (화포리),063-544-0869,null,null,50,사설,99,0,0,미설치,미설치,설치,미설치,미설치
봉안시설,전북특별자치도,정읍시,서남권추모공원 제1추모관,전북특별자치도 정읍시 감곡면 정읍북로 1850 (통석리),063-539-6726,063-538-6517,null,0,공설,15,15,2,설치,설치,설치,설치,설치
봉안시설,서울특별시,은평구,구파발성당 성요셉관,"서울특별시 은평구 진관2로 29-16 (진관동, 구파발성당)",02-389-1501,null,mygupabal.or.kr,36,사설,20,20,1,미설치,미설치,설치,미설치,미설치
봉안시설,경기도,안성시,상월사 봉안당,경기도 안성시 양성면 천덕산로 919 (동항리),031-674-3542,null,jkm9800.modoo.at,50,사설,99,99,99,설치,미설치,설치,설치,미설치
봉안시설,전라남도,여수시,여수시 제1추모의 집,"전라남도 여수시 소라면 의곡길 494 (봉두리, 영락공원)",061-659-1795,061-659-5889,null,457,공설,15,15,2,미설치,설치,설치,설치,설치
봉안시설,충청남도,예산군,예산군추모공원 봉안묘(가족·평장),"충청남도 예산군 응봉면 예당로 1345-12 (평촌리, 예산군추모공원)",041-339-8251,041-339-8259,null,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
봉안시설,강원특별자치도,인제군,하늘내린 보금자리(가족12위),강원특별자치도 인제군 남면 자작나무숲길 444-62 (남전리),033-460-2056,null,https://www.inje.go.kr/portal/field-info/welfare,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
봉안시설,경기도,오산시,오산시립쉼터공원,경기도 오산시 가장산업동로 69-21 (가장동),031-378-9681,null,https://www.osan.go.kr/memorial/main.do,30,공설,15,10,3,미설치,미설치,설치,설치,설치
봉안시설,전라남도,곡성군,(재)아름다운 청계공원 봉안시설,전라남도 곡성군 곡성읍 청계동로 457 (신기리),061-362-1199,null,https://061-362-1199.ezbuilder.co.kr/,0,사설,0,0,0,미설치,미설치,설치,설치,미설치
봉안시설,경기도,오산시,오산시립봉안묘(무연고),경기도 오산시 가장동 산72-2,031-8036-8036,null,null,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
봉안시설,경상북도,경주시,(재)법화세계추모관,경상북도 경주시 내남면 내외로 1130-16 (노곡리),054-773-6605,null,www.choomo.kr,70,사설,99,99,99,미설치,미설치,설치,설치,설치
봉안시설,전라남도,화순군,학천사추모관,"전라남도 화순군 화순읍 덕음로 940-27 (삼천리, 학천사)",061-375-7631,061-375-7274,www.hakchunsa.kr,70,사설,1,99,99,미설치,미설치,설치,미설치,미설치
봉안시설,전라남도,함평군,상상추모공원,전라남도 함평군 함평읍 함장로 933-43 (수호리),061-322-6666,null,www.ssmemorypark.com,300,사설,99,99,99,설치,미설치,설치,설치,미설치
봉안시설,경기도,김포시,무지개 뜨는 언덕,"경기도 김포시 김포한강4로 419-39 (마산동, 무지개뜨는언덕)",031-997-1641,031-997-1643,https://www.guc.or.kr/rainbow/html/about/rainbow_01.php,113,공설,15,15,2,미설치,미설치,설치,미설치,미설치
봉안시설,제주특별자치도,제주시,우도면 봉안당,"제주특별자치도 제주시 우도면 영일길 80-10 (연평리, 우도장례식장)",064-728-4331,064-728-4359,null,0,공설,15,15,3,미설치,미설치,미설치,미설치,미설치
봉안시설,전북특별자치도,익산시,익산추모관,전북특별자치도 익산시 석왕동 235,063-722-4400,null,null,15,사설,1,2,0,미설치,미설치,설치,설치,미설치
봉안시설,인천광역시,남동구,약사사지장전추모관,인천광역시 남동구 풀무로 48 (간석동),032-429-4441,null,null,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
봉안시설,전북특별자치도,정읍시,서남권추모공원 봉안담,전북특별자치도 정읍시 감곡면 정읍북로 1850 (통석리),063-539-6726,063-538-6517,null,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
봉안시설,충청북도,음성군,예은추모공원,충청북도 음성군 금왕읍 덕금로 936-61 (용계리),043-881-4700,043-882-8900,www.yeaeunpark.com,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
